X,Y,OBJECTID,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
411441.423994797,7691209.49270211,5551,10765,MUTAPURWA,Masvingo,Primary,Chiredzi,P3,-20.87719,32.14861
328787.900263162,7686153.16523163,5552,10766,C.A.GIBBS ,Masvingo,Primary,Chiredzi,P3,-20.91706,31.35368
341529.05218521,7676313.88586761,5553,10767,KYLE,Masvingo,Primary,Chiredzi,P3,-21.00707,31.47526
347350.948371754,7675390.85403978,5554,10768,NYATI,Masvingo,Primary,Chiredzi,P3,-21.0159,31.53118
257409.589488619,7781900.83252821,5555,10769,TEMERAIRE ,Masvingo,Primary,Masvingo,P3,-20.04459,30.68073
246755.878313058,7748527.72759679,5556,10770,DOMBO ,Masvingo,Primary,Chivi,P3,-20.34453,30.57428
362804.003450365,7664344.74249576,5557,10771,NYAWAGI,Masvingo,Primary,Chiredzi,P3,-21.1169,31.67896
324804.111922966,7605127.70535941,5558,10772,MPAPA,Masvingo,Primary,Chiredzi,P3,-21.64846,31.30703
307776.129648713,7828458.65659437,5559,10773,GUTU UNITED,Masvingo,Primary,Gutu,P3,-19.62973,31.16688
276549.384098499,7749973.91787813,5560,10774,MAKASI PRIMARY,Masvingo,Primary,Masvingo,P3,-20.3352,30.85968
380246.645947763,7701152.45545536,5561,10775,RUKOPE,Masvingo,Primary,Chiredzi,P3,-20.78561,31.84943
356226.906768227,7672789.92004619,5562,10776,RATIDZO,Masvingo,Primary,Chiredzi,P3,-21.04011,31.61635
357018.715302029,7666310.51795889,5563,10777,EMOBENI,Masvingo,Primary,Chiredzi,P3,-21.0987,31.62343
368632.956957446,7666623.87803299,5564,10778,GOZONYA,Masvingo,Primary,Chiredzi,P3,-21.09674,31.73525
279488.348008682,7762104.54734634,5565,10779,SIKATO PRIMARY,Masvingo,Primary,Masvingo,P3,-20.226,30.8893
277320.12897726,7782059.57095098,5566,10780,MASVINGO BARRACKS,Masvingo,Primary,Masvingo,P2,-20.04555,30.871
371913.502770177,7667050.35521393,5567,10781,MACHURENI,Masvingo,Primary,Chiredzi,P2,-21.09312,31.76686
332952.229125719,7552165.42830414,5568,10782,MAOSE ,Masvingo,Primary,Chiredzi,P3,-22.12755,31.38035
409193.141771136,7677900.86389044,5569,10783,TSHOVANI,Masvingo,Primary,Chiredzi,P2,-20.99732,32.1263
291843.556069648,7763610.68422701,5570,10784,KYLE GAME PARK,Masvingo,Primary,Masvingo,P3,-20.21378,31.00768
338877.970492434,7673536.03384314,5571,10785,MURRAY MACDOUGALL,Masvingo,Primary,Chiredzi,P1,-21.03193,31.4495
335523.058002076,7542463.73525672,5572,10786,DUMISA,Masvingo,Primary,Chiredzi,P3,-22.21541,31.40428
373313.997713724,7638511.3853773,5573,10787,CHIBWEDZIVA,Masvingo,Primary,Chiredzi,P3,-21.35102,31.77822
362177.286239235,7669121.92865671,5574,10788,CHISHAMISO PRIMARY,Masvingo,Primary,Chiredzi,P3,-21.0737,31.67331
406736.653243023,7679623.92596375,5575,10789,NYAHANGA,Masvingo,Primary,Chiredzi,P3,-20.98163,32.10276
386302.015620668,7648356.16013939,5576,10790,CHIONJA,Masvingo,Primary,Chiredzi,P3,-21.26295,31.90412
379404.323350764,7647417.94429658,5577,10791,CHAMBUTA,Masvingo,Primary,Chiredzi,P3,-21.27098,31.83758
309474.432814249,7532384.20715069,5578,10792,PUZANI,Masvingo,Primary,Chiredzi,P3,-22.30375,31.15046
314149.752956195,7546324.8228384,5579,10793,PUKUPELA,Masvingo,Primary,Chiredzi,P3,-22.17838,31.19744
329149.451492579,7574447.0869502,5580,10794,PHAHLELA,Masvingo,Primary,Chiredzi,P3,-21.92596,31.34583
320874.189917182,7591092.15952115,5581,10795,MASUKWE,Masvingo,Primary,Chiredzi,P3,-21.77482,31.26755
264402.364181329,7650118.53970012,5582,10796,RUTENGA,Masvingo,Primary,Mwenezi,P3,-21.23531,30.72995
317207.415922527,7840414.20935708,5583,10797,CHITEPO PRIMARY,Masvingo,Primary,Gutu,P3,-19.52263,31.25795
